Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1991","435.12","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1992","466.35","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1993","480.65","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1994","481.55","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1995","521.63","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1996","531.47","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1997","547.56","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1998","545.18","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","1999","556.74","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2000","526.56","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2001","512.34","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2002","439.61","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2003","420.54","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2004","443.68","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2005","460.28","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2006","448.28","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2007","469.16","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2008","756.17","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2009","1320.00","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2010","872.42","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2011","937.42","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2012","1005.61","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2013","1087.45","","Official data"
"PP","Producer Prices - Annual","19","Bolivia (Plurinational State of)","5532","Producer Price (USD/tonne)","92","Quinoa","2014","1163.86","","Official data"